N,M,Implementation,Time,Cycles,Instructions,IPC,branch_miss_pct,llc_miss_pct,Seq
200,128,Pallene,1.365741759,4490576221,16870657541,3.76,0.18,5.96,36
200,128,LuaJIT 2.1,1.274168091,4165641589,12099987127,2.90,0.17,1.38,36
200,128,No Check,1.371072590,4508272510,7619305764,1.69,0.51,19.75,36
200,128,Pallene,1.549976383,5094733410,16870657952,3.31,0.18,23.05,37
200,128,LuaJIT 2.1,1.278179524,4182656337,12101830957,2.89,0.17,3.12,37
200,128,No Check,1.244317403,4087435640,7619304560,1.86,0.51,11.12,37
200,128,Pallene,1.459753776,4798232677,16870657316,3.52,0.18,15.64,38
200,128,LuaJIT 2.1,1.277553452,4179849401,12101529298,2.90,0.17,3.39,38
200,128,No Check,1.286109791,4228968093,7619304044,1.80,0.51,14.82,38
200,128,Pallene,1.347677634,4429025418,16870657924,3.81,0.18,3.59,39
200,128,LuaJIT 2.1,1.271588794,4160485375,12101886766,2.91,0.17,0.99,39
200,128,No Check,1.243346685,4085185812,7619304972,1.87,0.51,12.04,39
200,128,Pallene,1.425163718,4685823164,16870657092,3.60,0.18,14.31,40
200,128,LuaJIT 2.1,1.276035537,4174094944,12100542050,2.90,0.17,1.50,40
200,128,No Check,1.244740044,4088738140,7619304635,1.86,0.51,12.41,40
200,128,Pallene,1.447438839,4759484194,16870658267,3.54,0.18,14.55,41
200,128,LuaJIT 2.1,1.276176687,4175414219,12101853963,2.90,0.17,3.71,41
200,128,No Check,1.274603161,4185272461,7619305075,1.82,0.51,14.46,41
200,128,Pallene,1.480413200,4866185073,16870657587,3.47,0.18,18.69,42
200,128,LuaJIT 2.1,1.277772312,4183887559,12101715729,2.89,0.17,2.56,42
200,128,No Check,1.341286428,4409371302,7619305554,1.73,0.51,18.38,42
400,16,Pallene,2.724357555,8941186599,16641298537,1.86,0.09,49.38,1
400,16,LuaJIT 2.1,1.506301565,4924447837,11656965240,2.37,0.09,38.66,1
400,16,No Check,2.701672591,8869375018,7407516701,0.84,0.25,51.10,1
400,16,Pallene,2.751010002,9029987208,16641299721,1.84,0.09,49.77,2
400,16,LuaJIT 2.1,1.466554885,4797281469,11656925291,2.43,0.09,37.02,2
400,16,No Check,2.757225399,9052816101,7407516825,0.82,0.25,51.15,2
400,16,Pallene,2.792750233,9168133523,16641298848,1.82,0.09,49.63,3
400,16,LuaJIT 2.1,1.487229963,4864601502,11657047834,2.40,0.09,37.73,3
400,16,No Check,2.691859910,8835146006,7407517449,0.84,0.25,49.76,3
400,16,Pallene,2.770153349,9091974397,16641298942,1.83,0.09,48.68,4
400,16,LuaJIT 2.1,1.468990492,4802043251,11656960057,2.43,0.09,37.49,4
400,16,No Check,2.702110004,8866649868,7407517276,0.84,0.25,51.01,4
400,16,Pallene,2.735180119,8975311079,16641300895,1.85,0.09,50.00,5
400,16,LuaJIT 2.1,1.474627643,4823081772,11657109417,2.42,0.09,37.02,5
400,16,No Check,2.705284500,8880406022,7407516603,0.83,0.25,51.33,5
400,16,Pallene,2.741200673,8997991031,16641299039,1.85,0.09,49.44,6
400,16,LuaJIT 2.1,1.485790425,4858004085,11656953819,2.40,0.09,38.09,6
400,16,No Check,2.653129644,8708103691,7407516822,0.85,0.25,50.78,6
400,16,Pallene,2.708509982,8886846587,16641300090,1.87,0.09,49.51,7
400,16,LuaJIT 2.1,1.470891630,4807180635,11656897236,2.42,0.09,36.54,7
400,16,No Check,2.716794572,8915512009,7407518203,0.83,0.25,50.18,7
400,16,Pallene,2.742460633,9001114937,16641299755,1.85,0.09,49.35,8
400,16,LuaJIT 2.1,1.513546713,4952662011,11656933698,2.35,0.09,38.64,8
400,16,No Check,2.696802615,8851956834,7407515346,0.84,0.25,51.29,8
400,16,Pallene,2.717948208,8921239317,16641298409,1.87,0.09,49.18,9
400,16,LuaJIT 2.1,1.465039431,4791964719,11657087296,2.43,0.09,37.02,9
400,16,No Check,2.713439670,8907948783,7407516613,0.83,0.25,50.95,9
400,16,Pallene,2.755515731,9041799543,16641299109,1.84,0.09,50.01,10
400,16,LuaJIT 2.1,1.494589625,4884931382,11656998852,2.39,0.09,38.34,10
400,16,No Check,2.700011373,8859722528,7407516894,0.84,0.25,51.12,10
400,16,Pallene,2.750007350,9025590803,16641300158,1.84,0.09,49.94,11
400,16,LuaJIT 2.1,1.476958380,4830932509,11657078885,2.41,0.09,37.26,11
400,16,No Check,2.685394156,8814896175,7407516260,0.84,0.25,50.74,11
400,16,Pallene,2.741208796,8997616362,16641300294,1.85,0.09,48.21,12
400,16,LuaJIT 2.1,1.449621369,4741831642,11656973335,2.46,0.09,36.69,12
400,16,No Check,2.674595817,8779667741,7407517463,0.84,0.25,51.21,12
400,16,Pallene,2.733863412,8971567513,16641298823,1.85,0.09,49.88,13
400,16,LuaJIT 2.1,1.480307329,4839316227,11657085082,2.41,0.09,37.61,13
400,16,No Check,2.720286299,8927821326,7407516859,0.83,0.25,51.51,13
400,16,Pallene,2.768600765,9087033391,16641299956,1.83,0.09,49.68,14
400,16,LuaJIT 2.1,1.456292970,4764242085,11657075587,2.45,0.09,37.03,14
400,16,No Check,2.721569894,8929491013,7407517098,0.83,0.25,51.38,14
400,16,Pallene,2.766899512,9082156119,16641299670,1.83,0.09,50.19,15
400,16,LuaJIT 2.1,1.489838442,4870299605,11657003960,2.39,0.09,38.12,15
400,16,No Check,2.697756626,8854017477,7407517727,0.84,0.25,51.34,15
400,16,Pallene,2.750464165,9023693030,16641298772,1.84,0.09,50.05,16
400,16,LuaJIT 2.1,1.477944884,4830404692,11656941628,2.41,0.09,36.78,16
400,16,No Check,2.733744394,8972595836,7407516659,0.83,0.25,51.37,16
400,16,Pallene,2.764511836,9076090677,16641298701,1.83,0.09,50.17,17
400,16,LuaJIT 2.1,1.493052086,4882478403,11657053917,2.39,0.09,37.82,17
400,16,No Check,2.671003978,8766370616,7407516594,0.84,0.25,51.22,17
400,16,Pallene,2.683889530,8809104003,16641299718,1.89,0.09,48.91,18
400,16,LuaJIT 2.1,1.445227964,4724598213,11656989382,2.47,0.09,36.03,18
400,16,No Check,2.715436629,8914505928,7407517155,0.83,0.25,51.36,18
400,16,Pallene,2.753306736,9037895489,16641299443,1.84,0.09,49.61,19
400,16,LuaJIT 2.1,1.461424774,4780238773,11656965666,2.44,0.09,36.84,19
400,16,No Check,2.723285605,8934642435,7407517837,0.83,0.25,51.22,19
400,16,Pallene,2.771186692,9094056636,16641298151,1.83,0.09,50.07,20
400,16,LuaJIT 2.1,1.492714128,4882414789,11657087245,2.39,0.09,37.85,20
400,16,No Check,2.670783416,8766432034,7407516735,0.84,0.25,50.26,20
400,16,Pallene,2.744010381,9008380508,16641298705,1.85,0.09,49.70,21
400,16,LuaJIT 2.1,1.469665509,4806575570,11656998272,2.43,0.09,37.15,21
400,16,No Check,2.708181479,8888918686,7407516646,0.83,0.25,50.92,21
400,16,Pallene,2.739614876,8992849296,16641299571,1.85,0.09,49.62,22
400,16,LuaJIT 2.1,1.503506156,4917684518,11657024967,2.37,0.09,37.49,22
400,16,No Check,2.704342664,8875547334,7407517265,0.83,0.25,50.85,22
400,16,Pallene,2.740612307,8993968760,16641299975,1.85,0.09,48.70,23
400,16,LuaJIT 2.1,1.494277094,4888713942,11657033939,2.38,0.09,37.89,23
400,16,No Check,2.709109136,8890609506,7407518216,0.83,0.25,50.66,23
400,16,Pallene,2.756365014,9049271263,16641299581,1.84,0.09,49.72,24
400,16,LuaJIT 2.1,1.455786072,4757013888,11656994915,2.45,0.09,36.84,24
400,16,No Check,2.681694714,8800861702,7407517785,0.84,0.25,50.72,24
400,16,Pallene,2.701511695,8868597276,16641298862,1.88,0.09,49.26,25
400,16,LuaJIT 2.1,1.504242231,4919192541,11657042162,2.37,0.09,37.84,25
400,16,No Check,2.720636553,8928641103,7407517660,0.83,0.25,50.77,25
400,16,Pallene,2.742944787,9003711009,16641298961,1.85,0.09,48.39,26
400,16,LuaJIT 2.1,1.454648174,4759176484,11657079085,2.45,0.09,36.63,26
400,16,No Check,2.686438238,8815917355,7407516942,0.84,0.25,50.74,26
400,16,Pallene,2.744090788,9006583629,16641299909,1.85,0.09,49.39,27
400,16,LuaJIT 2.1,1.486721954,4861061155,11657103988,2.40,0.09,37.25,27
400,16,No Check,2.699668297,8861104420,7407518023,0.84,0.25,50.15,27
400,16,Pallene,2.718642266,8923450382,16641299764,1.86,0.09,49.18,28
400,16,LuaJIT 2.1,1.463743168,4786034546,11657088589,2.44,0.09,36.92,28
